hotel_name,hotel_stars_count,location,rating,room_type1,occupancy1,summer_price1,room_type2,occupancy2,summer_price2,room_type3,occupancy3,summer_price3,amenities_list
Семеен хотел Портокал,3.0,Созопол,,стандартна стая,2,60 лв,студио,3,80 лв,апартамент,4,90 лв,"['телевизор', 'кухня', 'кабелна тв', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'кухненски бокс']"
Семеен хотел Кандрови,3.0,Созопол,9.1,стандартна стая,2,150 лв,стандартна стая,3,180 лв,студио,3,180 лв,"['открит басейн', 'паркинг', 'екскурзовод', 'охрана', 'сейф', 'джакузи', 'детски басейн', 'колела под наем', 'лоби бар', 'кафене', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'ютия', 'сешоар', 'плащане с карта', 'кафе машина', 'лятна градина', 'бар-басейн', 'електрическа кана']"
Семеен хотел Флагa,2.0,Созопол,9.3,,,,,,,,,,"['паркинг', 'телевизор', 'кабелна тв', 'климатик', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'лятна градина']"
Семеен хотел Азур,3.0,Созопол,8.9,студио,3,140 лв,апартамент,4,190 лв,мезонет,5,240 лв,"['паркинг', 'рент-а-кар', 'телевизор', 'кухня', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'вана', 'ютия', 'сешоар', 'кухненски бокс', 'пране', 'гладене', 'кафе машина', 'електрическа кана', 'готварска печка', 'асансьор']"
Вила Миа,,Созопол,9.7,стандартна стая,2,120 лв,студио,3,140 лв,апартамент,4,170 лв,"['открит басейн', 'паркинг', 'детски кът', 'детски басейн', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'гладене', 'кафе машина', 'бар-басейн', 'електрическа кана']"
Къщи Парадайс Вилас,,Созопол,,къща,12,980 лв,,,,,,,"['открит басейн', 'паркинг', 'барбекю', 'телевизор', 'кухня', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'пералня', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'кафе машина', 'съдомиялна', 'електрическа кана', 'готварска печка']"
Хотел Созополи Стайл,3.0,Созопол,7.0,студио,2,135 лв,апартамент,3,175 лв,,,,"['открит басейн', 'ресторант', 'фитнес', 'рент-а-кар', 'охрана', 'сауна', 'сейф', 'детски кът', 'детски басейн', 'барбекю', 'кафене', 'телевизор', 'климатик', 'хладилник', 'баня/тоалетна', 'микровълнова', 'тераса', 'ютия', 'сешоар', 'кухненски бокс', 'плащане с карта', 'лятна градина', 'бар-басейн']"
Вила Калиопе в к-с Созополис,,Созопол,10.0,вила,6,600 лв,,,,,,,"['открит басейн', 'паркинг', 'барбекю', 'телевизор', 'кухня', 'кабелна тв', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'пералня', 'тераса', 'изглед', 'вана', 'ютия', 'сешоар', 'кухненски бокс', 'кафе машина', 'лятна градина', 'съдомиялна', 'електрическа кана', 'готварска печка']"
Къща Пепи,3.0,Созопол,,стандартна стая,2,70 лв,стандартна стая,3,100 лв,мезонет,4,120 лв,"['детски кът', 'телевизор', 'кабелна тв', 'хазяи', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'лятна градина', 'електрическа кана']"
Вила Диди,,Созопол,10.0,стандартна стая,2,130 лв,,,,,,,"['паркинг', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'кафе машина']"
